UNINUMBR,YEAR,CERT,BRNUM
10053,2023,15809,0
10053,2024,15809,0
10054,2022,1528,48
10054,2023,1528,48
10054,2024,1528,48
10056,2022,3510,9042
10056,2023,3510,9042
10056,2024,3510,9042
10057,2022,15813,0
10057,2023,15813,0
10059,2022,15815,0
10059,2023,15815,0
10059,2024,15815,0
1006,2022,28905,129
1006,2023,28905,129
1006,2024,28905,129
10060,2022,12923,89
10060,2023,12923,89
10060,2024,12923,89
10061,2022,15817,0
10061,2023,15817,0
10061,2024,15817,0
10062,2022,9846,3435
10062,2023,9846,3435
10062,2024,9846,3435
10063,2022,15820,0
10063,2023,15820,0
10063,2024,15820,0
10064,2022,21897,3
10064,2023,21897,3
10064,2024,21897,3
10065,2022,3511,3973
10065,2023,3511,3973
10065,2024,3511,3973
10066,2022,4214,12
10066,2023,4214,12
10066,2024,4214,12
10068,2022,15826,0
10068,2023,15826,0
10068,2024,15826,0
10069,2022,3511,4643
10069,2023,3511,4643
10069,2024,3511,4643
1007,2022,1527,0
1007,2023,1527,0
1007,2024,1527,0
10070,2022,7468,205
10070,2023,7468,205
10070,2024,7468,205
10071,2022,15830,0
10071,2023,15830,0
10071,2024,15830,0
10072,2022,950,3
10072,2023,950,3
10072,2024,950,3
10074,2022,2224,2
10074,2023,2224,2
10074,2024,2224,2
10075,2022,12368,1223
10075,2023,12368,1223
10075,2024,12368,1223
10077,2022,24472,6
10077,2023,24472,6
10077,2024,24472,6
10078,2022,588,161
10078,2023,588,161
10078,2024,588,161
10079,2022,12368,1089
10079,2023,12368,1089
10079,2024,12368,1089
1008,2022,1528,0
1008,2023,1528,0
1008,2024,1528,0
10080,2022,15839,0
10080,2023,15839,0
10080,2024,15839,0
10081,2022,16620,4
10081,2023,16620,4
10081,2024,16620,4
10084,2022,3511,8975
10084,2023,3511,8975
10084,2024,3511,8975
10085,2022,3511,3812
10085,2023,3511,3812
10085,2024,3511,3812
10086,2022,14065,7
10086,2023,14065,7
10086,2024,14065,7
10087,2022,15847,0
10087,2023,15847,0
10087,2024,15847,0
10088,2022,873,180
10088,2023,873,180
10088,2024,873,180
10089,2022,3511,7433
10089,2023,3511,7433
10089,2024,3511,7433
1009,2022,11813,188
1009,2023,11813,188
1009,2024,11813,188
10090,2022,3511,3904
10090,2023,3511,3904
10090,2024,3511,3904
10091,2022,18384,4
10091,2023,18384,4
10091,2024,18384,4
10093,2022,15853,0
10093,2023,15853,0
10093,2024,15853,0
10095,2022,20369,63
10095,2023,20369,63
10095,2024,20369,63
10097,2022,19459,14
10097,2023,19459,14
10097,2024,19459,14
10098,2022,6195,1
10098,2023,6195,1
10098,2024,6195,1
10100,2022,3511,4896
10101,2022,8943,3
10101,2023,8943,3
10101,2024,8943,3
10105,2022,11406,17
10105,2023,11406,17
10105,2024,11406,17
10106,2022,17614,3
10106,2023,17614,3
10106,2024,17614,3
10107,2022,11813,23
10107,2023,11813,23
10107,2024,11813,23
10108,2022,15871,0
10108,2023,15871,0
10108,2024,15871,0
10109,2022,3511,9132
10109,2023,3511,9132
10109,2024,3511,9132
10110,2022,15873,0
10110,2023,15873,0
10110,2024,15873,0
10113,2022,3863,6
10113,2023,3863,6
10113,2024,3863,6
10114,2022,4775,1
10114,2023,4775,1
10114,2024,4775,1
10115,2022,20504,4
10115,2023,20504,4
10115,2024,20504,4
10116,2022,24603,5
10116,2023,24603,5
10116,2024,24603,5
10117,2022,3869,15
10117,2023,3869,15
10117,2024,3869,15
10118,2022,1399,39
10118,2023,1399,39
