PAIR_ID,CERT,STALPBR,CLASS,UNINUMBR,DEPSUMBR_2022,DEPSUMBR_2023,DEPSUMBR_2024,SHARE_2022,SHARE_2024,DELTA_LOG_SHARE
P013603,9846,NC,GAIN,190619,327994,547031,876570,0.003022896129029594,0.008119396523864201,0.9880404767119714
P013604,9846,NC,DECLINE,479039,543473,417752,250281,0.005008818539156511,0.002318275415984184,-0.7703765126855685
P013604,9846,NC,GAIN,219166,165201,184318,191132,0.001522544508167277,0.001770396541518889,0.1508206024681052
P013605,9846,NC,DECLINE,221381,735013,606971,416389,0.006774111576694784,0.003856882392935294,-0.5632490386645611
P013605,9846,NC,GAIN,205354,145564,120283,179982,0.001341563724111002,0.0016671175435597,0.2172602214281741
P013606,9846,NC,DECLINE,40839,2087347,1363151,1248529,0.01923764814673908,0.01156473758233073,-0.5089085953206001
P013606,9846,NC,GAIN,494334,128566,142053,155407,0.001184904796199988,0.001439486926981489,0.1946243187903326
P013607,9846,NC,DECLINE,205362,163754,114663,98378,0.001509208499890584,0.0009112449561640398,-0.5045288718909818
P013607,9846,NC,GAIN,190580,123092,144059,156846,0.001134454686105571,0.001452815938466984,0.2473516169572671
P013608,9846,NC,DECLINE,221371,1519190,1343285,923976,0.01400133408007607,0.008558503624963151,-0.4922272518046069
P013608,9846,NC,GAIN,221314,122050,143508,141378,0.0011248512855359,0.00130954064336091,0.1520255855129524
P013609,9846,NC,DECLINE,221321,313552,264329,195875,0.002889794103091786,0.001814329482085744,-0.4654692868788833
P013609,9846,NC,GAIN,263425,105975,101165,162174,0.000976699016670766,0.001502167552917797,0.4304858436445267
P013610,9846,NC,DECLINE,221365,9094,7461,5858,8.381317157446517e-05,5.426084036277364e-05,-0.4347873790156469
P013610,9846,NC,GAIN,493239,11997,13479,15642,0.0001105681349657861,0.0001448870032356615,0.2703222136282588
P013611,9846,NC,DECLINE,221335,496900,445528,320757,0.004579587085479629,0.002971072784609455,-0.4326857435186849
P013611,9846,NC,GAIN,4036,105357,168066,156831,0.0009710033337993103,0.001452676998110986,0.402833437213155
P013612,9846,NC,DECLINE,260479,234155,211991,153841,0.002158046315154925,0.001424981553815203,-0.4150444597335356
P013612,9846,NC,GAIN,205380,102439,145891,145235,0.0009441101256780996,0.001345266840233429,0.3541048486852765
P013613,9846,NC,DECLINE,3255,382476,364358,255038,0.003525019420619655,0.002362338034216638,-0.4002341245544148
P013613,9846,NC,GAIN,237324,101256,101291,129670,0.0009332072246474648,0.001201093064158562,0.2523600260522759
P013614,9846,NC,DECLINE,205426,188250,146005,126223,0.001734971360115798,0.001169164570350013,-0.3947014548006494
P013614,9846,NC,GAIN,205078,101170,111046,116340,0.0009324146215294306,0.001077621401127532,0.1447338962464465
P013615,9846,NC,DECLINE,221362,666672,532467,455904,0.006144259371001963,0.004222897604088418,-0.3749966818255217
P013615,9846,NC,GAIN,205071,99659,156585,143922,0.0009184887690718743,0.001333104927738325,0.3725363554496562
P013616,9846,NC,DECLINE,43317,381520,335888,262900,0.003516208623168018,0.002435161306140866,-0.3673703142725032
P013616,9846,NC,GAIN,219165,99000,110308,117639,0.0009124152172720533,0.001089653635957038,0.1775199909866744
P013617,9846,NC,DECLINE,14267,289967,246183,202349,0.00267242730612854,0.001874296139734872,-0.3547539660431472
P013617,9846,NC,GAIN,205086,98410,114866,120987,0.0009069775912297248,0.001120665123415994,0.2115599048790711
P013618,9846,NC,DECLINE,190560,237158,211788,169115,0.002185722910078845,0.001566459886983691,-0.3331284008178364
P013618,9846,NC,GAIN,264499,87456,85462,184886,0.0008060220731489362,0.001712541777280944,0.7536228371588357
P013619,9846,NC,DECLINE,42722,468290,450741,334756,0.004315908304003331,0.003100741187518036,-0.3306666259124554
P013619,9846,NC,GAIN,453716,87449,115512,105345,0.0008059575589416544,0.0009757781201803328,0.1912041399672687
P013620,9846,NC,DECLINE,221301,243560,248782,175107,0.00224472576079577,0.001621961927860055,-0.3249468751100913
P013620,9846,NC,GAIN,221320,86785,95705,104576,0.0007998379255652034,0.0009686551112627887,0.1914995121062682
P013621,9846,NC,DECLINE,190609,901748,747906,652632,0.008310793912572115,0.0060451281610853,-0.3183024563021684
P013621,9846,NC,GAIN,479045,78799,92440,94830,0.0007262364313719245,0.000878380930625098,0.190204736449286
P013622,9846,NC,DECLINE,262770,73320,53340,53070,0.0006757402397008783,0.0004915709795241375,-0.3182023981500706
P013622,9846,NC,GAIN,221290,74095,81492,85581,0.000682882884078513,0.0007927103071161712,0.149134470233015
P013623,9846,NC,DECLINE,221306,173218,151121,125507,0.001596431708135662,0.001162532484023665,-0.3171701549349638
P013623,9846,NC,GAIN,445534,77846,90299,91117,0.0007174532828662652,0.0008439885611701683,0.1624311068620184
P013624,9846,NC,DECLINE,3251,585570,487641,425197,0.005396797765434305,0.003938468169977853,-0.3150139129053887
P013624,9846,NC,GAIN,440511,74164,112240,109753,0.0006835188098360056,0.001016608059463212,0.3969727571796501
P013625,9846,NC,DECLINE,221387,243633,213283,177306,0.002245398551814567,0.001642330584049495,-0.3127667132043323
P013625,9846,NC,GAIN,425255,71772,89695,87633,0.0006614733835762607,0.0008117173478168219,0.2046824394640484
P013626,9846,NC,DECLINE,221318,895791,802497,655549,0.008255892322175251,0.006072147428981887,-0.3072148463480426
P013626,9846,NC,GAIN,280539,71153,76034,85991,0.0006557684843894789,0.0007965080101801414,0.1944293795077447
P013627,9846,NC,DECLINE,234269,958322,840330,707712,0.008832197735824127,0.006555317148313291,-0.2981273791494126
P013627,9846,NC,GAIN,221308,70918,141894,134873,0.0006536026502878734,0.001249286842309384,0.6478285428863005
P013628,9846,NC,DECLINE,41134,266622,242985,199197,0.002457272424843529,0.001845100139594302,-0.2865184121923684
P013628,9846,NC,GAIN,40862,69062,77804,79346,0.0006364971690428539,0.000734957432472625,0.1438326122387633
P013629,9846,NC,DECLINE,219168,504019,426658,378970,0.004645198034285283,0.003510281780860418,-0.280137691515242
P013629,9846,NC,GAIN,271252,68855,66220,134409,0.000634589391770376,0.001244988953963817,0.6739037739352967
P013630,9846,NC,DECLINE,205352,263943,221053,199871,0.002432581916085228,0.001851343192923853,-0.2730417843160055
P013630,9846,NC,GAIN,451750,68827,76474,80966,0.0006343313349412486,0.0007499629909205071,0.1674524316320652
P013631,9846,NC,DECLINE,221350,219893,194086,167100,0.002026603225975794,0.001547795565827838,-0.2695294008198628
P013631,9846,NC,GAIN,279938,68570,70999,79843,0.0006319627419024717,0.0007395609896013888,0.1572263131329378
P013632,9846,NC,DECLINE,205421,133916,126745,102254,0.001234212083193983,0.0009471471441541576,-0.264733595773052
P013632,9846,NC,GAIN,286900,68515,75323,81565,0.0006314558445595427,0.0007555113424700635,0.1793667769717319
P013633,9846,NC,DECLINE,263431,79182,73128,60691,0.000729766280141775,0.0005621619430619827,-0.2609343553899938
P013633,9846,NC,GAIN,471130,68305,71482,77686,0.0006295204183410869,0.0007195813664087459,0.1337113186012026
P013634,9846,NC,DECLINE,221322,685897,613225,526264,0.006321443033143934,0.004874620500627297,-0.2599052547305106
P013634,9846,NC,GAIN,267042,64064,83412,87160,0.0005904340250436043,0.0008073360952576562,0.3128821543652938
P013635,9846,NC,DECLINE,260072,65504,70152,50823,0.0006037055191130159,0.0004707577141955009,-0.2487429734703299
P013635,9846,NC,GAIN,221270,62129,73755,72089,0.0005726004548878323,0.0006677380882403531,0.1537078260904641
P013636,9846,NC,DECLINE,190777,155033,139356,122448,0.001428833013932709,0.001134197914090288,-0.2309323194351822
P013636,9846,NC,GAIN,190563,61524,100223,99681,0.0005670245841156141,0.0009233142417551449,0.4875669724836169
P013637,9846,NC,DECLINE,264502,182532,155209,144401,0.001682272469081843,0.00133754175643989,-0.2293121204934731
P013637,9846,NC,GAIN,481691,61054,70500,75720,0.0005626929159124034,0.0007013709170824889,0.2203028358468644
P013638,9846,NC,DECLINE,190650,178403,145706,142040,0.00164421830310087,0.001315672544405662,-0.2229171000914997
P013638,9846,NC,GAIN,205076,61041,69829,73954,0.0005625731038131657,0.0006850130058362174,0.1969167367354775
P013639,9846,NC,DECLINE,439901,505148,446432,404526,0.004655603254288315,0.003746999096720958,-0.2171162163463206
P013639,9846,NC,GAIN,264498,59607,71617,74025,0.0005493569076357098,0.0006856706568546122,0.2216490851302234
P013640,9846,NC,DECLINE,190593,87116,78643,70055,0.0008028885259381029,0.0006488977759669013,-0.2129406880835374
P013640,9846,NC,GAIN,493257,56448,67228,71794,0.000520242567520938,0.0006650055945723746,0.245500274700085
P013641,9846,NC,DECLINE,1346,1107671,963483,892001,0.01020864521344396,0.008262329099425477,-0.2115284101691835
P013641,9846,NC,GAIN,470168,54815,64152,64036,0.0005051923245936121,0.0005931456424497393,0.160500774070975
P013642,9846,NC,DECLINE,205373,379340,333911,306176,0.00349611705575738,0.002836013495888116,-0.2092535725665437
P013642,9846,NC,GAIN,264866,52283,60327,60782,0.0004818566141882299,0.0005630048478883761,0.1556416500596979
