airport_id,origin_codes,station_ids,unique_station_count,usable_assigned_days,minimum_month_usable_days,assignment_gap_days,assignment_ambiguous_days,weather_missing_days,weather_suspect_days,weather_erroneous_days,weather_ambiguous_days,weather_unparsed_days,usable_m01,usable_m02,usable_m03,usable_m04,usable_m05,usable_m06,usable_m07,usable_m08,usable_m09,usable_m10,usable_m11,usable_m12,stage_a_qualified
10558,BFF,USW00024028,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10561,BFL,USW00023155,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10577,BGM,USW00004725,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10599,BHM,USW00013876,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10620,BIL,USW00024033,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10666,BLI,USW00024217,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,31,30,31,29,31,True
10685,BMI,USW00054831,1,342,24,0,0,23,0,0,0,0,24,27,30,30,30,30,30,28,29,29,29,26,True
10693,BNA,USW00013897,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10713,BOI,USW00024131,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10721,BOS,USW00014739,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10728,BPT,USW00012917,1,362,27,0,0,3,0,0,0,0,31,27,31,30,31,30,31,31,29,31,29,31,True
10739,BRD,USW00094938,1,303,0,0,0,62,0,0,0,0,31,27,31,30,31,30,31,31,30,31,0,0,False
10779,BTM,USW00024135,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10781,BTR,USW00013970,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,30,30,31,30,31,True
10785,BTV,USW00014742,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10792,BUF,USW00014733,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10800,BUR,USW00023152,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10821,BWI,USW00093721,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10849,BZN,USW00024132,1,361,27,0,0,2,0,2,0,0,29,27,31,30,31,30,31,31,29,31,30,31,True
10868,CAE,USW00013883,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10874,CAK,USW00014895,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10918,CDC,USW00093129,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,30,30,31,30,31,True
10980,CHA,USW00013882,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
10990,CHO,USW00093736,1,364,28,0,0,1,0,0,0,0,31,28,31,30,31,30,31,30,30,31,30,31,True
11003,CID,USW00014990,1,355,20,0,0,10,0,0,0,0,31,28,31,30,31,30,31,31,20,31,30,31,True
11027,CKB,USW00003802,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11042,CLE,USW00014820,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11049,CLL,USW00003904,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11057,CLT,USW00013881,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11066,CMH,USW00014821,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
11067,CMI,USW00094870,1,353,25,0,0,12,0,0,0,0,31,25,31,30,31,30,31,31,30,28,28,27,True
11109,COS,USW00093037,1,365,28,0,0,0,0,0,0,0,31,28,31,30,31,30,31,31,30,31,30,31,True
